"","genes","logFC","logCPM","F","PValue","FDR"
"11756","ENSMUSG00000052584",0.00766194811428496,6.47132746398886,0.00355769756979149,0.952754620011146,0.98800321602341
"11757","ENSMUSG00000044350",0.042396728387581,2.14690545851156,0.0742377973293216,0.786761413037211,0.944257497610571
"11758","ENSMUSG00000034795",0.0493503136001576,1.17369425237182,0.0370302180712422,0.848444008589734,0.963057688446545
"11759","ENSMUSG00000022012",0.045511330209362,4.22375159391644,0.167430863429349,0.684737752350442,0.912562730175862
"11760","ENSMUSG00000063556",-0.200640507246484,4.88362301964077,1.00041723011717,0.323633340347417,0.752774499191759
"11761","ENSMUSG00000067973",-0.230502855774488,-0.413196578243675,0.324793758919075,0.572146599419598,0.87223320834788
"11762","ENSMUSG00000089365",0.676267583616267,-0.845743097421078,1.18678600758707,0.282944431703808,0.726237587171424
"11763","ENSMUSG00000022013",-0.065517754558302,5.47524865811851,1.12150597492901,0.296382213367544,0.735446318298892
"11764","ENSMUSG00000022014",-0.0837023856277546,0.125503679654151,0.050982044197973,0.822591795821053,0.956982198296601
"11765","ENSMUSG00000045655",-0.450355441729805,0.689838254699896,1.14415695237712,0.291626582236239,0.731361415715495
"11766","ENSMUSG00000022016",0.0974952796399527,6.82320672853623,0.860843138040517,0.359448630211478,0.774600255706032
"11767","ENSMUSG00000034731",0.0219270632824,5.30306770239812,0.0439853556420588,0.835018465396848,0.959075534126608
"11768","ENSMUSG00000058997",-0.00183422146368397,4.84635811139972,0.000289315688286699,0.986519573018393,0.997545114663475
"11769","ENSMUSG00000022018",0.112494057041349,4.06406565401226,0.390028648943322,0.536073565078329,0.857707068734905
"11770","ENSMUSG00000022020",-0.521766905117978,2.4514205389659,3.63515436484254,0.0642714686232733,0.533023020953536
"11771","ENSMUSG00000022022",0.117918833530078,2.51790864982794,0.596467976832436,0.444779118887098,0.817463266904073
"11772","ENSMUSG00000043881",-0.066290171812623,4.40906917741698,0.595976694485481,0.444965223176359,0.817463266904073
"11773","ENSMUSG00000075502",0.436852375484751,-0.279760029516809,0.765224852136947,0.387278120743163,0.789077555894157
"11774","ENSMUSG00000022023",0.133972272531237,5.45508934918142,2.32837447434672,0.135442456589167,0.601840101339803
"11775","ENSMUSG00000036461",-0.125483189365996,2.81227051117888,0.444652012565558,0.50897634346523,0.846982263894318
"11776","ENSMUSG00000022024",0.0635150071475456,5.7400628600702,0.751665222219577,0.39147472435695,0.792284223835459
"11777","ENSMUSG00000022025",-0.382756492524845,0.477320792313385,0.831280157839809,0.367738695670119,0.78061152893342
"11778","ENSMUSG00000115422",0.224933526564129,-0.259721477223741,0.266177851141268,0.608942296319484,0.886965448982348
"11779","ENSMUSG00000036422",-0.00124152701788537,5.36184716661677,0.000130685569563599,0.990939685726306,0.998242510470746
"11780","ENSMUSG00000102774",0.146641071912652,2.05285837683907,0.414415532479601,0.523662698572532,0.852793297884656
"11781","ENSMUSG00000022026",-0.528454278219028,0.161673530423568,1.8379464933376,0.183317214443866,0.647250524259872
"11782","ENSMUSG00000035566",0.112402221355176,5.57217793556638,0.865198497545776,0.358249688748428,0.774369458951484
"11783","ENSMUSG00000115529",0.423624717857752,0.96004039510685,1.91316308532477,0.174809385602403,0.638763604088412
